loan_id,current_balance,payment_status,days_past_due,interest_rate,last_payment_date,servicer_name
LN-1004,461912,CURRENT,0,6.76,2024-08-10,Wells Fargo Servicing
LN-1008,252354,CURRENT,0,5.82,2024-08-10,Rocket Mortgage Servicing
LN-1012,324158,CURRENT,0,5.7,2024-08-10,Freedom Mortgage
LN-1016,383346,CURRENT,0,7.69,2024-08-10,PennyMac Loan Services
LN-1020,561948,CURRENT,0,5.79,2024-08-10,Wells Fargo Servicing
LN-1024,176939,CURRENT,0,7.54,2024-08-10,Freedom Mortgage
LN-1028,613319,CURRENT,0,5.15,2024-08-10,Nationstar Mortgage
LN-1032,531165,CURRENT,0,6.87,2024-08-10,Freedom Mortgage
LN-1036,537796,CURRENT,0,5.4,2024-08-10,Wells Fargo Servicing
LN-1040,162441,CURRENT,0,7,2024-08-10,Nationstar Mortgage
LN-1044,317053,CURRENT,0,5.45,2024-08-10,Freedom Mortgage
LN-1048,375053,CURRENT,0,6.69,2024-08-10,Chase Home Lending
LN-1052,276636,CURRENT,0,7.25,2024-08-10,Rocket Mortgage Servicing
LN-1056,232518,CURRENT,0,6.09,2024-08-10,Freedom Mortgage
LN-1060,499775,CURRENT,0,5.82,2024-08-10,Nationstar Mortgage
LN-1064,606951,CURRENT,0,6.21,2024-08-10,Rocket Mortgage Servicing
LN-1068,474973,CURRENT,0,4.76,2024-08-10,Wells Fargo Servicing
LN-1072,364961,CURRENT,0,6.14,2024-08-10,Chase Home Lending
LN-1076,220881,CURRENT,0,6.1,2024-08-10,Chase Home Lending
LN-1080,545486,CURRENT,0,650,2024-08-10,Nationstar Mortgage
LN-1084,490707,CURRENT,0,7.81,2024-08-10,Rocket Mortgage Servicing
LN-1088,242146,CURRENT,0,4.68,2024-08-10,Nationstar Mortgage
LN-1092,359035,CURRENT,0,4.72,2024-08-10,Nationstar Mortgage
LN-1096,182235,CURRENT,0,6.17,2024-08-10,Rocket Mortgage Servicing
LN-1100,358178,CURRENT,0,4.95,2024-08-10,Wells Fargo Servicing
LN-1104,569217,CURRENT,0,4.8,2024-08-10,Nationstar Mortgage
LN-1108,419840,CURRENT,0,4.68,2024-08-10,Wells Fargo Servicing
LN-1112,643671,CURRENT,0,7.63,2024-08-10,Nationstar Mortgage
LN-1116,312035,CURRENT,0,4.94,2024-08-10,Wells Fargo Servicing
LN-1120,248773,CURRENT,0,6.91,2024-08-10,PennyMac Loan Services
LN-1124,234486,CURRENT,0,7.83,2024-08-10,Nationstar Mortgage
LN-1128,445594,CURRENT,0,5.73,2024-08-10,PennyMac Loan Services
LN-1132,531973,CURRENT,0,4.94,2024-08-10,Rocket Mortgage Servicing
LN-1136,438154,CURRENT,0,7.8,2024-08-10,Chase Home Lending
LN-1140,184228,CURRENT,0,5.9,2024-08-10,PennyMac Loan Services
LN-1144,618715,CURRENT,0,6.11,2024-08-10,Nationstar Mortgage
