loan_id,document_status,vault_location,custodian_note
LN-1001,COMPLETE,VAULT-B-2,"Original promissory note and deed in vault inventory"
LN-1002,COMPLETE,VAULT-C-3,"Original promissory note and deed in vault inventory"
LN-1003,COMPLETE,VAULT-D-4,"Original promissory note and deed in vault inventory"
LN-1004,COMPLETE,VAULT-E-5,"Original promissory note and deed in vault inventory"
LN-1005,COMPLETE,VAULT-F-6,"Original promissory note and deed in vault inventory"
LN-1006,COMPLETE,VAULT-A-7,"Original promissory note and deed in vault inventory"
LN-1007,COMPLETE,VAULT-B-8,"Original promissory note and deed in vault inventory"
LN-1008,COMPLETE,VAULT-C-9,"Original promissory note and deed in vault inventory"
LN-1009,COMPLETE,VAULT-D-10,"Original promissory note and deed in vault inventory"
LN-1010,COMPLETE,VAULT-E-11,"Original promissory note and deed in vault inventory"
LN-1011,COMPLETE,VAULT-F-12,"Original promissory note and deed in vault inventory"
LN-1012,COMPLETE,VAULT-A-13,"Original promissory note and deed in vault inventory"
LN-1013,COMPLETE,VAULT-B-14,"Original promissory note and deed in vault inventory"
LN-1014,COMPLETE,VAULT-C-15,"Original promissory note and deed in vault inventory"
LN-1015,COMPLETE,VAULT-D-16,"Original promissory note and deed in vault inventory"
LN-1016,COMPLETE,VAULT-E-17,"Original promissory note and deed in vault inventory"
LN-1017,COMPLETE,VAULT-F-18,"Original promissory note and deed in vault inventory"
LN-1018,COMPLETE,VAULT-A-19,"Original promissory note and deed in vault inventory"
LN-1019,COMPLETE,VAULT-B-20,"Original promissory note and deed in vault inventory"
LN-1020,COMPLETE,VAULT-C-21,"Original promissory note and deed in vault inventory"
LN-1021,COMPLETE,VAULT-D-22,"Original promissory note and deed in vault inventory"
LN-1022,COMPLETE,VAULT-E-23,"Original promissory note and deed in vault inventory"
LN-1023,COMPLETE,VAULT-F-24,"Original promissory note and deed in vault inventory"
LN-1024,COMPLETE,VAULT-A-25,"Original promissory note and deed in vault inventory"
LN-1025,COMPLETE,VAULT-B-26,"Original promissory note and deed in vault inventory"
LN-1026,COMPLETE,VAULT-C-27,"Original promissory note and deed in vault inventory"
LN-1027,COMPLETE,VAULT-D-28,"Original promissory note and deed in vault inventory"
LN-1028,COMPLETE,VAULT-E-29,"Original promissory note and deed in vault inventory"
LN-1029,COMPLETE,VAULT-F-30,"Original promissory note and deed in vault inventory"
LN-1030,COMPLETE,VAULT-A-31,"Original promissory note and deed in vault inventory"
LN-1031,COMPLETE,VAULT-B-32,"Original promissory note and deed in vault inventory"
LN-1032,COMPLETE,VAULT-C-33,"Original promissory note and deed in vault inventory"
LN-1033,COMPLETE,VAULT-D-34,"Original promissory note and deed in vault inventory"
LN-1034,COMPLETE,VAULT-E-35,"Original promissory note and deed in vault inventory"
LN-1035,COMPLETE,VAULT-F-36,"Original promissory note and deed in vault inventory"
LN-1036,COMPLETE,VAULT-A-37,"Original promissory note and deed in vault inventory"
LN-1037,COMPLETE,VAULT-B-38,"Original promissory note and deed in vault inventory"
LN-1038,COMPLETE,VAULT-C-39,"Original promissory note and deed in vault inventory"
LN-1039,COMPLETE,VAULT-D-40,"Original promissory note and deed in vault inventory"
LN-1040,COMPLETE,VAULT-E-41,"Original promissory note and deed in vault inventory"
LN-1041,COMPLETE,VAULT-F-42,"Original promissory note and deed in vault inventory"
LN-1042,COMPLETE,VAULT-A-43,"Original promissory note and deed in vault inventory"
LN-1043,COMPLETE,VAULT-B-44,"Original promissory note and deed in vault inventory"
LN-1044,COMPLETE,VAULT-C-45,"Original promissory note and deed in vault inventory"
LN-1045,COMPLETE,VAULT-D-46,"Original promissory note and deed in vault inventory"
LN-1046,COMPLETE,VAULT-E-47,"Original promissory note and deed in vault inventory"
LN-1047,COMPLETE,VAULT-F-48,"Original promissory note and deed in vault inventory"
LN-1048,COMPLETE,VAULT-A-49,"Original promissory note and deed in vault inventory"
LN-1049,COMPLETE,VAULT-B-50,"Original promissory note and deed in vault inventory"
LN-1050,COMPLETE,VAULT-C-1,"Original promissory note and deed in vault inventory"
LN-1051,COMPLETE,VAULT-D-2,"Original promissory note and deed in vault inventory"
LN-1052,COMPLETE,VAULT-E-3,"Original promissory note and deed in vault inventory"
LN-1053,COMPLETE,VAULT-F-4,"Original promissory note and deed in vault inventory"
LN-1054,COMPLETE,VAULT-A-5,"Original promissory note and deed in vault inventory"
LN-1055,COMPLETE,VAULT-B-6,"Original promissory note and deed in vault inventory"
LN-1056,COMPLETE,VAULT-C-7,"Original promissory note and deed in vault inventory"
LN-1057,COMPLETE,VAULT-D-8,"Original promissory note and deed in vault inventory"
LN-1058,COMPLETE,VAULT-E-9,"Original promissory note and deed in vault inventory"
LN-1059,COMPLETE,VAULT-F-10,"Original promissory note and deed in vault inventory"
LN-1060,COMPLETE,VAULT-A-11,"Original promissory note and deed in vault inventory"
LN-1061,COMPLETE,VAULT-B-12,"Original promissory note and deed in vault inventory"
LN-1062,COMPLETE,VAULT-C-13,"Original promissory note and deed in vault inventory"
LN-1063,COMPLETE,VAULT-D-14,"Original promissory note and deed in vault inventory"
LN-1064,COMPLETE,VAULT-E-15,"Original promissory note and deed in vault inventory"
LN-1065,COMPLETE,VAULT-F-16,"Original promissory note and deed in vault inventory"
LN-1066,COMPLETE,VAULT-A-17,"Original promissory note and deed in vault inventory"
LN-1067,COMPLETE,VAULT-B-18,"Original promissory note and deed in vault inventory"
LN-1068,COMPLETE,VAULT-C-19,"Original promissory note and deed in vault inventory"
